supplier_name,address,email,phone_number,product_category,product_name,supplier_quantity,supplier_rating,delivery_time_in_days
"Allen, Flores and Smith","8213 Davila Rest
East John, GA 90484",corozco@dennis-wiley.info,264-422-5546x29128,Storage,Dell Compellent SC5020,4571,6,23
Willis LLC,"5923 Evans Cliff Suite 956
East Natalie, NV 02523",mariahlewis@ryan.com,3045382207,Monitors,Dell UltraSharp U2720Q,9685,9,20
Smith-Hernandez,"12743 Espinoza Shores Suite 574
Coxborough, OK 17532",annadunn@sanford.com,+1-719-273-4106x153,Monitors,Dell UltraSharp U2720Q,2342,6,29
"Bennett, Marquez and Morales","329 Kevin Ramp Suite 020
New Nicholas, CT 38896",amber56@miller.com,217.869.5348x0889,Servers,Dell PowerEdge R740,2427,5,20
"Hobbs, Dawson and Weber","921 Gibbs Garden Apt. 495
Lake Joyceburgh, OK 82717",bowentanya@rogers-johnson.com,382.462.0511x136,Laptops,Dell XPS 13,6478,9,21
Fleming and Sons,"856 Harper Shoals
West Brian, OH 20178",sheilacarlson@webb.biz,(622)651-6430x347,Servers,Dell PowerEdge R540,3999,10,11
Williams-Martinez,"90428 Stephanie Passage
Lake Andrewside, CT 22572",hstephenson@beck-shepherd.com,250.692.8543,Monitors,Dell UltraSharp U2720Q,1361,10,18
Franco-Hughes,"93716 Karen Village Apt. 949
East Sheryltown, AZ 13386",zjohnson@mitchell-mills.com,+1-790-452-4530x415,Monitors,Dell SE2419HX,8357,8,30
Quinn LLC,"16213 Fox Valleys Apt. 476
Andrewtown, RI 17510",meghan23@garcia.net,(760)816-6669x0102,Monitors,Dell P2419H,5944,7,22
Howell-Williams,"5824 Graham Brook Apt. 046
New Diane, MA 75482",amandacook@davis.com,+1-623-354-7663x625,Laptops,Dell XPS 13,6116,10,5
Fischer-Adams,"194 Good Trace
Lake Carla, MP 40582",wwallace@glover-neal.com,+1-903-346-3892x506,Monitors,Dell UltraSharp U2720Q,7073,8,30
Rivera-Allen,"8227 Hernandez Ford Apt. 873
Jamesmouth, MN 23059",erin65@mcconnell-foster.net,001-662-247-8021x2014,Monitors,Dell SE2419HX,6531,3,30
Wilson Inc,"7798 Friedman Fords
East Hannah, UT 94673",banksjesse@scott.com,9427332016,Servers,Dell PowerEdge R740,8569,8,5
Webb Inc,"99531 Melissa Drive
Lauraberg, NE 52558",garciapamela@rogers.com,903-905-7389x939,Monitors,Dell UltraSharp U2720Q,2442,7,20
Thompson PLC,"9707 Cindy Court Suite 806
Stephanieville, WI 62886",jeffreyarnold@reynolds.org,(359)701-1080,Storage,Dell Compellent SC5020,9613,9,14
Tucker Ltd,"066 Diaz Junction Suite 967
Cruzside, VI 22658",yreyes@hoffman-zuniga.com,318-227-3322x322,Monitors,Dell UltraSharp U2720Q,5871,3,17
Turner-Smith,"USCGC Coleman
FPO AP 87348",emily16@davis.net,679-589-6214x887,Laptops,Dell Inspiron 15,1363,10,22
"Green, Barnett and Simmons","047 Norma Vista Suite 922
Reyesview, NJ 17748",ldalton@johnson.com,357.299.4422,Laptops,Dell Latitude 7400,5724,10,5
Johnson-Roberts,"182 Jacqueline Loop Suite 243
Port Meghan, IA 15353",jonathan77@wade.com,729.624.1307,Laptops,Dell Latitude 7400,653,8,7
Johnson-Moore,"2312 Patricia Points Suite 169
Stevenside, NY 35013",jeffrey83@fisher.com,(230)799-9881x076,Storage,Dell Compellent SC5020,1860,3,7
Williams Ltd,"496 Aguilar Point
South Jamesfort, WV 34990",ythompson@yu.com,9797002097,Laptops,Dell Inspiron 15,1979,4,27
"Valentine, Solis and Aguilar","464 Cindy Gateway
Perryhaven, NV 60260",shannon69@martinez.com,(575)653-3571x069,Storage,Dell PowerVault ME4,1897,8,14
Johnson Group,"61804 Sheryl Underpass
Janiceberg, FL 55228",spencerbrian@wilson.com,(664)206-3579x8265,Storage,Dell EMC Unity XT,5723,3,16
Smith Group,"13130 Daniel Turnpike
South Saraside, MA 96502",hughesjason@wilson.net,286.312.8161x8896,Laptops,Dell XPS 13,3633,5,27
Wallace-Jones,"04409 Alexander Prairie
Hudsonside, HI 80845",anthonyclements@stevens-ibarra.net,001-616-821-3668x84683,Monitors,Dell SE2419HX,7513,1,18
Mcfarland-Anderson,"93073 Beard Ferry Suite 571
Vasquezview, NV 81145",masondana@holland-lewis.org,683.245.2840x236,Storage,Dell PowerVault ME4,1021,1,13
Kelly Ltd,"2435 John Field Suite 093
Mooremouth, CO 24933",levi59@newton.com,3089795112,Servers,Dell PowerEdge T340,800,3,5
Brown Group,"USS Price
FPO AA 65298",dale35@leonard-smith.net,371.252.7137x2506,Laptops,Dell Inspiron 15,782,7,29
